timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700552084894,2388,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,8161,1217,20,20,null,0,0,0
1700552084894,2388,/login-113,200,OK,Thread Group 1-12,text,true,,8161,1217,20,20,https://www.tab66aud.com/login,2388,0,0
1700552082747,4623,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,11183,1169,20,20,null,0,1,0
1700552082747,4623,/-37,200,OK,Thread Group 1-11,text,true,,11183,1169,20,20,https://www.tab66aud.com/,4623,0,0
1700552082689,4703,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,11196,1169,20,20,null,0,1,0
1700552082689,4703,/-37,200,OK,Thread Group 1-16,text,true,,11196,1169,20,20,https://www.tab66aud.com/,4703,0,0
1700552082752,4645,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,11154,1169,20,20,null,0,0,0
1700552082752,4645,/-37,200,OK,Thread Group 1-14,text,true,,11154,1169,20,20,https://www.tab66aud.com/,4645,0,0
1700552082768,4670,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,11150,1169,20,20,null,0,0,0
1700552082768,4670,/-37,200,OK,Thread Group 1-2,text,true,,11150,1169,20,20,https://www.tab66aud.com/,4670,0,0
1700552075787,11650,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-17,,true,,24199,3900,20,20,null,0,1,0
1700552075788,7016,/logout-400,200,OK,Thread Group 1-17,text,true,,13042,2680,20,20,https://www.tab66aud.com,2353,0,0
1700552075788,2353,/logout-400-0,302,Found,Thread Group 1-17,text,true,,1897,1377,20,20,https://www.tab66aud.com/logout,2353,0,0
1700552078142,4662,/logout-400-1,200,OK,Thread Group 1-17,text,true,,11145,1303,20,20,https://www.tab66aud.com,4662,0,0
1700552082804,4634,/-403,200,OK,Thread Group 1-17,text,true,,11157,1220,20,20,https://www.tab66aud.com/,4634,0,0
1700552082784,4641,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,11147,1169,20,20,null,0,1,0
1700552082784,4641,/-37,200,OK,Thread Group 1-15,text,true,,11147,1169,20,20,https://www.tab66aud.com/,4641,0,0
1700552082910,4641,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,11146,1169,20,20,null,0,0,0
1700552082910,4641,/-37,200,OK,Thread Group 1-13,text,true,,11146,1169,20,20,https://www.tab66aud.com/,4641,0,0
1700552076006,11629,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,24201,3900,20,20,null,0,0,0
1700552076006,6993,/logout-400,200,OK,Thread Group 1-1,text,true,,13050,2680,20,20,https://www.tab66aud.com,2350,0,0
1700552076006,2350,/logout-400-0,302,Found,Thread Group 1-1,text,true,,1901,1377,20,20,https://www.tab66aud.com/logout,2350,0,0
1700552078359,4640,/logout-400-1,200,OK,Thread Group 1-1,text,true,,11149,1303,20,20,https://www.tab66aud.com,4640,0,0
1700552082998,4636,/-403,200,OK,Thread Group 1-1,text,true,,11151,1220,20,20,https://www.tab66aud.com/,4636,0,0
1700552085220,2468,Select and Click On Pragmatic,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,10190,1228,20,20,null,0,1,0
1700552085220,2468,/games/10-171,200,OK,Thread Group 1-6,text,true,,10190,1228,20,20,https://www.tab66aud.com/games/10,2468,0,0
1700552085280,2408,Select and Click On Pragmatic,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,10201,1228,20,20,null,0,1,0
1700552085280,2408,/games/10-171,200,OK,Thread Group 1-7,text,true,,10201,1228,20,20,https://www.tab66aud.com/games/10,2408,0,0
1700552076000,11745,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-18,,true,,24209,3900,20,20,null,0,-1,22
1700552076000,7036,/logout-400,200,OK,Thread Group 1-18,text,true,,13055,2680,20,20,https://www.tab66aud.com,2389,0,22
1700552076000,2389,/logout-400-0,302,Found,Thread Group 1-18,text,true,,1905,1377,20,20,https://www.tab66aud.com/logout,2389,0,22
1700552078390,4646,/logout-400-1,200,OK,Thread Group 1-18,text,true,,11150,1303,20,20,https://www.tab66aud.com,4645,0,0
1700552083035,4709,/-403,200,OK,Thread Group 1-18,text,true,,11154,1220,20,20,https://www.tab66aud.com/,4709,0,0
1700552087371,2353,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,8161,1217,20,20,null,0,1,0
1700552087371,2353,/login-113,200,OK,Thread Group 1-11,text,true,,8161,1217,20,20,https://www.tab66aud.com/login,2353,0,0
